,region,Year,GDP
0,Africa,1991,482333913003.1762
1,Africa,1992,458034182556.1643
2,Africa,1993,430602947790.6151
3,Africa,1994,425726952340.8406
4,Africa,1995,475366776550.4852
5,Africa,1996,497106598960.1201
6,Africa,1997,512991841559.2448
7,Africa,1998,499050841606.4337
8,Africa,1999,514895232721.6332
9,Africa,2000,530980094394.5524
10,Africa,2001,523125422859.1904
11,Africa,2002,547521404965.5664
12,Africa,2003,688011939668.9813
13,Africa,2004,851819961165.4064
14,Africa,2005,1011429880654.9242
15,Africa,2006,1186143874527.1648
16,Africa,2007,1371839898411.244
17,Africa,2008,1599604377804.7332
18,Africa,2009,1493800344556.9436
19,Africa,2010,1753168910679.2974
20,Africa,2011,1949132168658.9016
21,Africa,2012,2056229686152.9104
22,Africa,2013,2148638240636.0703
23,Africa,2014,2194925788118.352
24,Africa,2015,1947636237295.8955
25,Africa,2016,1828782510287.3215
26,Africa,2017,1986436667261.5264
27,Africa,2018,2019613138153.5776
28,Africa,2019,2064239411122.0984
29,Africa,2020,1932555588179.9167
30,Africa,2021,2162957162993.004
31,Americas,1991,7897973359234.619
32,Americas,1992,8344096863822.944
33,Americas,1993,8874920156965.045
34,Americas,1994,9567175832927.145
35,Americas,1995,10078551836850.674
36,Americas,1996,10701266501027.916
37,Americas,1997,11413798079638.67
38,Americas,1998,11892465979058.129
39,Americas,1999,12274180036610.82
40,Americas,2000,13156450552656.885
41,Americas,2001,13427201846085.645
42,Americas,2002,13600824987930.775
43,Americas,2003,14313955400439.62
44,Americas,2004,15489111837565.088
45,Americas,2005,16917743668517.262
46,Americas,2006,18294594073880.816
47,Americas,2007,19652799122074.395
48,Americas,2008,20588391551334.01
49,Americas,2009,19827952903148.73
50,Americas,2010,21611146173915.11
51,Americas,2011,23153449879524.63
52,Americas,2012,23841709085528.08
53,Americas,2013,24611234529710.94
54,Americas,2014,25289455176787.668
55,Americas,2015,24866122750309.027
56,Americas,2016,25210997765938.293
57,Americas,2017,26671369023670.406
58,Americas,2018,27671974975902.496
59,Americas,2019,28457974116838.21
60,Americas,2020,27048669914186.914
61,Americas,2021,29943339658857.137
62,Asia,1991,5000188221605.063
63,Asia,1992,5450221741261.851
64,Asia,1993,6082882858336.886
65,Asia,1994,6881371600995.729
66,Asia,1995,7874868319475.663
67,Asia,1996,7543242125026.658
68,Asia,1997,7230033828395.187
69,Asia,1998,6665970892612.519
70,Asia,1999,7433661866367.811
71,Asia,2000,8060971903597.399
72,Asia,2001,7570126692368.004
73,Asia,2002,7624750660789.97
74,Asia,2003,8414043969947.676
75,Asia,2004,9439756921765.844
76,Asia,2005,10141991790155.523
77,Asia,2006,10916194764456.275
78,Asia,2007,12440514735764.377
79,Asia,2008,14662514591348.477
80,Asia,2009,15231345183478.922
81,Asia,2010,17838602673057.49
82,Asia,2011,20778821049902.637
83,Asia,2012,22173810038372.52
84,Asia,2013,22437634887962.63
85,Asia,2014,23311250145956.21
86,Asia,2015,23097293464212.977
87,Asia,2016,24186043921309.14
88,Asia,2017,25996121068350.117
89,Asia,2018,28292026645178.832
90,Asia,2019,29076032204182.973
91,Asia,2020,28705346082679.46
92,Asia,2021,32349119587768.95
93,Europe,1991,8307675861231.876
94,Europe,1992,9023276873828.717
95,Europe,1993,8236269879889.989
96,Europe,1994,8731243822373.795
97,Europe,1995,10209779289508.266
98,Europe,1996,10420429681876.072
99,Europe,1997,9821768712592.045
100,Europe,1998,10139553292149.832
101,Europe,1999,10118448422143.998
102,Europe,2000,9427052426898.266
103,Europe,2001,9547831665913.96
104,Europe,2002,10430986983842.154
105,Europe,2003,12646805280543.38
106,Europe,2004,14595055014696.406
107,Europe,2005,15298738400169.707
108,Europe,2006,16362725081810.465
109,Europe,2007,18919885897404.78
110,Europe,2008,20509419345043.55
111,Europe,2009,18294483016450.203
112,Europe,2010,18265479075853.883
113,Europe,2011,19875406277192.875
114,Europe,2012,18794295477399.21
115,Europe,2013,19600846069840.758
116,Europe,2014,20181686567365.48
117,Europe,2015,17742207022018.74
118,Europe,2016,17823460064276.6
119,Europe,2017,18740552227741.92
120,Europe,2018,20250298097747.56
121,Europe,2019,19932936965217.71
122,Europe,2020,19381049444857.168
123,Europe,2021,21826104157345.61
124,Oceania,1991,380566764330.0219
125,Oceania,1992,380418765168.6858
126,Oceania,1993,372659809325.81146
127,Oceania,1994,393239027157.6724
128,Oceania,1995,447391835648.9463
129,Oceania,1996,487509706723.1422
130,Oceania,1997,516774482908.63934
131,Oceania,1998,469776453460.8046
132,Oceania,1999,462125941282.2855
133,Oceania,2000,481772564071.0419
134,Oceania,2001,442459230630.0282
135,Oceania,2002,477190815187.8483
136,Oceania,2003,573323633498.2505
137,Oceania,2004,738013521521.4845
138,Oceania,2005,831726770883.8572
139,Oceania,2006,885464807597.9727
140,Oceania,2007,1021257798256.481
141,Oceania,2008,1221475971908.1768
142,Oceania,2009,1081676091445.1914
143,Oceania,2010,1330312137030.9148
144,Oceania,2011,1608220141572.8914
145,Oceania,2012,1768181929032.3157
146,Oceania,2013,1813645207701.5415
147,Oceania,2014,1718655676713.5237
148,Oceania,2015,1580471928693.0305
149,Oceania,2016,1447435471603.464
150,Oceania,2017,1589292202137.786
151,Oceania,2018,1698830844722.6555
152,Oceania,2019,1664010398723.491
153,Oceania,2020,1595061517238.2583
154,Oceania,2021,1827699866752.9448
