DATE,REGION,MEAN_BY_CONTINENT,CLASSIFICATION
2014,Africa,8.243333333333334,0.0
2014,Americas,18.77220192878908,0.16666666666666666
2014,Asia,37.82203637333311,0.8333333333333334
2014,Europe,21.363125999425822,0.3333333333333333
2014,Oceania,18.3926350338115,0.16666666666666666
2015,Africa,8.29863063762332,0.0
2015,Americas,21.753517336156772,0.3333333333333333
2015,Asia,31.440874640154416,0.3333333333333333
2015,Europe,17.12075210313808,0.16666666666666666
2015,Oceania,28.20383268042511,0.16666666666666666
2016,Africa,13.515946949821474,0.16666666666666666
2016,Americas,23.17937770270576,0.3333333333333333
2016,Asia,32.53999455653224,0.6666666666666666
2016,Europe,17.33282011388523,0.16666666666666666
2016,Oceania,8.758841022964326,0.0
2017,Africa,19.578228971465926,0.4
2017,Americas,20.454844346273806,0.3333333333333333
2017,Asia,30.97830847914005,0.3333333333333333
2017,Europe,18.70853092695035,0.16666666666666666
2017,Oceania,9.703124069100223,0.16666666666666666
2018,Africa,17.42125683200078,0.3333333333333333
2018,Americas,20.60912505014269,0.16666666666666666
2018,Asia,31.401740554881858,0.3333333333333333
2018,Europe,17.62539961253339,0.16666666666666666
2018,Oceania,9.171131422773703,0.0
2019,Africa,21.350783486402232,0.3333333333333333
2019,Americas,18.69933620006514,0.16666666666666666
2019,Asia,28.082186127740002,0.3333333333333333
2019,Europe,16.0239166455265,0.16666666666666666
2019,Oceania,10.065857182626862,0.16666666666666666
2020,Africa,18.74916998112377,0.3333333333333333
2020,Americas,17.055262871481283,0.16666666666666666
2020,Asia,26.018336527147955,0.3333333333333333
2020,Europe,14.65868918717016,0.16666666666666666
2020,Oceania,9.547714932751026,0.16666666666666666
2021,Africa,20.219549192539787,0.3333333333333333
2021,Americas,17.882053861423366,0.16666666666666666
2021,Asia,26.85287995896405,0.3333333333333333
2021,Europe,15.339994050467476,0.16666666666666666
2021,Oceania,8.661899067848132,0.0
2022,Africa,18.849132153214626,0.3333333333333333
2022,Americas,17.503336589417057,0.16666666666666666
2022,Asia,28.375560236498472,0.3333333333333333
2022,Europe,15.023771462298354,0.16666666666666666
2022,Oceania,8.554389534837737,0.0
