DATE,REGION,MEAN_BY_CONTINENT
2014,Africa,7.498333333333334
2014,Americas,28.088902206375682
2014,Asia,35.67348734892295
2014,Europe,20.958118532856822
2014,Oceania,19.197080291970803
2015,Africa,10.239950885277711
2015,Americas,29.160591186696973
2015,Asia,32.86863302701492
2015,Europe,17.463199491894343
2015,Oceania,22.43851131331175
2016,Africa,26.34311014311795
2016,Americas,29.957153263324255
2016,Asia,48.36570305211767
2016,Europe,17.016177949047943
2016,Oceania,11.665330039834672
2017,Africa,48.890710158933814
2017,Americas,32.8243635041201
2017,Asia,50.19479377068197
2017,Europe,18.40696939701551
2017,Oceania,11.50296246048305
2018,Africa,56.61243010876153
2018,Americas,32.709009422911386
2018,Asia,59.208880296447575
2018,Europe,17.79025516438901
2018,Oceania,10.629490828916861
2019,Africa,73.59979249975171
2019,Americas,28.888162204708205
2019,Asia,57.76088651979509
2019,Europe,17.113692673867213
2019,Oceania,12.091157399222357
2020,Africa,66.64555749767325
2020,Americas,28.058079883659957
2020,Asia,50.2163477114074
2020,Europe,15.809414292047325
2020,Oceania,11.256849163160616
2021,Africa,77.31476098688026
2021,Americas,30.66455087525323
2021,Asia,51.86803430625906
2021,Europe,16.596229448383824
2021,Oceania,11.757186976509423
2022,Africa,66.05287367441385
2022,Americas,27.57803077867993
2022,Asia,51.4154480971946
2022,Europe,16.25009341351611
2022,Oceania,11.934321566953642
